City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
Ribeira Grande,38.5167,-28.7,75.6,83,20,8.05,PT,1663704683
Saint-Philippe,-21.3585,55.7679,69.39,87,71,14.72,RE,1663705169
Punta Arenas,-53.15,-70.9167,55.51,35,75,8.05,CL,1663705044
Liku,-0.7275,119.8922,73.98,93,100,2.37,ID,1663705072
Talnakh,69.4865,88.3972,27.21,74,100,9.01,RU,1663705073
Butaritari,3.0707,172.7902,80.71,77,100,11.56,KI,1663705170
Maceió,-9.6658,-35.7353,78.24,69,0,9.22,BR,1663705074
Dikson,73.5069,80.5464,30.27,72,100,19.39,RU,1663704715
Hermanus,-34.4187,19.2345,51.8,77,0,8.63,ZA,1663705171
Busselton,-33.65,115.3333,57.83,71,3,16.13,AU,1663704978
Ushuaia,-54.8,-68.3,49.66,43,0,10.36,AR,1663705172
Qaanaaq,77.484,-69.3632,25.02,61,100,6.15,GL,1663704726
Nome,64.5011,-165.4064,43.16,81,0,8.05,US,1663705172
Beroroha,-21.6667,45.1667,72.72,54,0,1.81,MG,1663705075
Vaini,-21.2,-175.2,75.36,88,40,9.22,TO,1663705173
Hindupur,13.8289,77.4933,71.29,83,100,9.84,IN,1663705076
Jamestown,42.097,-79.2353,73.18,49,0,11.5,US,1663704713
Bluff,-46.6,168.3333,46.8,87,100,2.35,NZ,1663704714
Hilo,19.7297,-155.09,85.28,50,0,5.01,US,1663705097
Raudeberg,61.9875,5.1352,47.07,65,100,16.42,NO,1663705077
Hobart,-42.8794,147.3294,53.46,62,100,8.05,AU,1663704949
Pemangkat,1.1667,108.9667,77.11,84,100,4.16,ID,1663705077
Ardeşen,41.1911,40.9875,71.51,83,96,3.36,TR,1663705078
Fortuna,40.5982,-124.1573,73.9,58,32,4.0,US,1663704725
Albany,42.6001,-73.9662,73.36,74,47,1.99,US,1663705149
Kirovsk,48.6375,38.6428,61.79,53,87,11.95,UA,1663705079
Alenquer,-1.9417,-54.7383,99.27,26,30,6.17,BR,1663705079
New Norfolk,-42.7826,147.0587,53.1,89,97,3.06,AU,1663705176
Hamilton,39.1834,-84.5333,90.25,52,0,3.0,US,1663704947
Portoviejo,-1.05,-80.45,76.41,61,100,9.89,EC,1663705176
Jiamusi,46.8333,130.35,40.15,65,12,10.45,CN,1663705177
Cape Town,-33.9258,18.4232,64.38,67,0,9.22,ZA,1663705064
Sadon,42.8518,44.0037,59.07,72,43,7.47,RU,1663705227
Lubango,-14.9172,13.4925,64.36,41,0,3.85,AO,1663705228
Alofi,-19.0595,-169.9187,71.49,94,75,11.5,NU,1663705228
Chernyshevskiy,63.0128,112.4714,33.78,97,100,9.48,RU,1663705229
Yellowknife,62.456,-114.3525,55.56,54,8,5.01,CA,1663704684
Chokurdakh,70.6333,147.9167,31.46,90,100,15.3,RU,1663705229
Rikitea,-23.1203,-134.9692,73.17,75,0,16.15,PF,1663705230
Samarai,-10.6167,150.6667,79.99,85,100,10.69,PG,1663705230
Kapuskasing,49.4169,-82.4331,73.4,60,57,11.5,CA,1663705231
Nikolskoye,59.7035,30.7861,49.91,94,95,3.06,RU,1663705231
Ilulissat,69.2167,-51.1,37.42,93,75,8.05,GL,1663705232
Bredasdorp,-34.5322,20.0403,51.44,91,0,2.3,ZA,1663705232
Iqaluit,63.7506,-68.5145,38.93,93,100,0.0,CA,1663704735
Saldanha,-33.0117,17.9442,56.66,86,0,9.75,ZA,1663704500
East London,-33.0153,27.9116,60.17,69,51,7.25,ZA,1663704713
Castro,-24.7911,-50.0119,70.25,66,70,3.65,BR,1663705233
Bundaberg,-24.85,152.35,63.21,99,19,1.01,AU,1663705233
Lebu,-37.6167,-73.65,50.14,68,33,9.44,CL,1663705234
Ketchikan,55.3422,-131.6461,63.07,59,0,10.36,US,1663705234
Cidreira,-30.1811,-50.2056,64.58,80,97,10.02,BR,1663705235
Puerto Ayora,-0.7393,-90.3518,75.16,88,71,11.99,EC,1663704717
Carnarvon,-24.8667,113.6333,64.18,65,97,14.25,AU,1663704711
Ban Bung,18.3081,100.7044,72.84,99,100,0.38,TH,1663705236
Kavieng,-2.5744,150.7967,80.65,79,93,9.28,PG,1663705236
Barcelona,41.3888,2.159,73.33,79,20,3.44,ES,1663705131
Saskylakh,71.9167,114.0833,25.2,88,100,18.75,RU,1663705237
Vestmanna,62.1564,-7.1664,50.92,93,100,11.5,FO,1663705237
Curuguaty,-24.4694,-55.6945,74.93,70,88,2.35,PY,1663705238
Sabzawār,36.2126,57.6819,72.68,23,0,9.22,IR,1663705238
Port Alfred,-33.5906,26.891,55.18,94,15,10.16,ZA,1663704713
Tashtagol,52.7657,87.8894,43.41,82,7,1.54,RU,1663705239
Sapernoye,60.7167,29.9505,48.65,90,100,4.68,RU,1663705239
Chui,-33.6971,-53.4616,55.56,76,100,11.61,UY,1663704712
Leningradskiy,69.3833,178.4167,31.44,79,6,12.19,RU,1663704687
Ziro,27.6333,93.8333,58.71,98,100,0.83,IN,1663705240
Upernavik,72.7868,-56.1549,33.48,96,100,5.37,GL,1663705191
Tromsø,69.6496,18.957,42.82,70,75,12.66,NO,1663705241
Manyana,-23.4,21.7167,50.92,33,0,8.39,BW,1663705241
Codrington,-38.2667,141.9667,50.56,92,100,8.3,AU,1663705242
Shitkino,56.3703,98.3543,42.53,84,68,15.26,RU,1663705242
Norman Wells,65.282,-126.8329,53.64,54,75,8.05,CA,1663705243
Baharly,38.4362,57.4316,77.2,22,0,5.93,TM,1663705088
Abéché,13.8292,20.8324,83.23,60,100,6.4,TD,1663705244
Mustvee,58.8486,26.9397,49.46,89,100,4.79,EE,1663705244
Torbay,47.6666,-52.7314,55.27,76,20,9.22,CA,1663704733
Coquimbo,-29.9533,-71.3436,60.53,55,0,13.8,CL,1663705245
Bambous Virieux,-20.3428,57.7575,71.22,88,40,11.5,MU,1663705245
Saint-François,46.4154,3.9054,53.04,62,0,5.75,FR,1663705245
Järvakandi,58.7789,24.8258,49.42,93,74,3.33,EE,1663705246
Hong Kong,22.2855,114.1577,83.17,82,57,10.0,HK,1663705049
Abalak,58.1286,68.5944,60.15,67,98,6.08,RU,1663705247
Plettenberg Bay,-34.0527,23.3716,55.62,82,0,5.64,ZA,1663705073
Nanortalik,60.1432,-45.2371,41.94,89,23,10.18,GL,1663705248
Okato,-39.2,173.8833,54.91,100,98,6.6,NZ,1663705248
Country Club,25.9482,-80.317,91.42,66,20,16.11,US,1663705112
Boysun,38.2061,67.1986,66.13,32,0,5.35,UZ,1663705249
Laguna,38.421,-121.4238,76.32,63,100,8.05,US,1663705249
Hithadhoo,-0.6,73.0833,81.68,71,8,4.61,MV,1663704734
Pisco,-13.7,-76.2167,68.05,64,0,18.41,PE,1663705250
Isiro,2.7739,27.616,67.51,98,35,1.79,CD,1663705250
Micheweni,-4.9667,39.8333,75.16,78,41,7.34,TZ,1663705251
Lar,26.2039,83.9717,79.05,89,100,12.46,IN,1663705251
Kaitangata,-46.2817,169.8464,47.73,96,56,2.24,NZ,1663705252
Brownsville,25.9018,-97.4975,91.4,62,0,11.5,US,1663705174
Sharjah city,25.3573,55.4033,94.98,51,0,5.75,AE,1663705082
Ponta do Sol,32.6667,-17.1,76.01,96,58,4.34,PT,1663705253
Yangi Marg`ilon,40.4272,71.7189,70.52,43,3,4.61,UZ,1663705253
Gijang,35.2442,129.2139,58.73,73,3,8.39,KR,1663705253
Souillac,-20.5167,57.5167,70.18,88,40,11.5,MU,1663705254
Abhā,18.2164,42.5053,64.22,48,20,10.36,SA,1663705028
Lavrentiya,65.5833,-171.0,38.77,71,15,4.45,RU,1663705255
Mataura,-46.1927,168.8643,46.47,99,100,0.58,NZ,1663705229
Winslow,35.0242,-110.6974,71.78,68,20,0.0,US,1663705255
Yamoussoukro,6.8206,-5.2767,75.09,94,40,4.61,CI,1663705256
Dekar,-21.5333,21.9333,57.15,19,0,9.93,BW,1663705256
Matamoros,25.5333,-103.25,86.11,36,75,4.61,MX,1663705256
Aksu,41.1231,80.2644,70.36,34,28,0.36,CN,1663705257
Arraial do Cabo,-22.9661,-42.0278,75.06,69,0,10.36,BR,1663705157
Meulaboh,4.1363,96.1285,75.81,92,100,5.14,ID,1663705258
Stranda,62.3096,6.9358,44.35,93,100,4.45,NO,1663705258
Alekseyevsk,57.8406,108.3492,43.84,93,100,11.52,RU,1663705258
Cherskiy,68.75,161.3,38.32,49,100,14.74,RU,1663705259
Ternate,0.8,127.4,79.92,78,100,1.72,ID,1663705256
Tiksi,71.6872,128.8694,31.64,97,100,10.83,RU,1663705253
Bethel,41.3712,-73.414,77.36,63,20,6.91,US,1663704691
Turiaçu,-1.6633,-45.3717,83.55,65,66,6.46,BR,1663705260
Saint Paul Harbor,57.79,-152.4072,54.91,62,0,12.66,US,1663705261
Luk Pu,23.1742,112.2809,75.67,92,86,1.16,CN,1663705261
Bubaque,11.2833,-15.8333,76.69,87,100,5.77,GW,1663705261
Kamaishi,39.2667,141.8833,55.58,77,73,7.49,JP,1663705262
Carbonia,39.1672,8.5222,72.01,77,1,7.7,IT,1663704689
George Town,5.4112,100.3354,78.73,94,40,2.3,MY,1663705163
Jonava,55.0833,24.2833,51.85,96,0,3.44,LT,1663705263
Mórrope,-6.5417,-80.0111,64.51,60,99,19.04,PE,1663705263
Calderitas,18.55,-88.25,86.11,70,40,9.22,MX,1663705264
Mahébourg,-20.4081,57.7,71.26,88,40,11.5,MU,1663705265
Cabo San Lucas,22.8909,-109.9124,84.61,83,100,11.5,MX,1663705265
Longyearbyen,78.2186,15.6401,33.64,75,75,19.57,SJ,1663704745
Srednekolymsk,67.45,153.6833,36.61,92,100,19.44,RU,1663705267
Atikokan,48.7555,-91.6216,78.93,39,38,10.54,CA,1663705267
Grand Island,40.925,-98.342,98.55,37,0,10.36,US,1663705268
Severo-Kuril'sk,50.6789,156.125,48.43,74,35,16.11,RU,1663705268
Sisophon,13.5859,102.9737,73.98,96,100,4.45,KH,1663705269
Ponta Delgada,37.7333,-25.6667,78.49,73,20,4.61,PT,1663705269
Hattiesburg,31.3271,-89.2903,91.89,54,0,8.05,US,1663705271
Kavaratti,10.5669,72.642,80.78,78,99,14.09,IN,1663705272
Savannah Bight,16.45,-85.85,83.01,74,52,5.73,HN,1663705272
Kapaa,22.0752,-159.319,84.18,68,40,12.66,US,1663705273
Arrondissement de Saint-Claude,46.5,5.8333,50.56,81,23,4.83,FR,1663705273
Barrow,71.2906,-156.7887,37.42,87,20,6.91,US,1663704731
Valky,49.8387,35.6207,49.01,94,100,6.53,UA,1663705274
Atuona,-9.8,-139.0333,76.8,76,45,22.35,PF,1663705275
Kruisfontein,-34.0033,24.7314,53.89,86,0,5.66,ZA,1663704746
Mossamedes,-15.1961,12.1522,63.63,88,10,2.73,AO,1663705264
Port Blair,11.6667,92.75,80.53,78,81,9.91,IN,1663705276
Baykit,61.67,96.37,31.59,73,84,10.96,RU,1663705277
Avarua,-21.2078,-159.775,73.45,83,75,12.66,CK,1663705277
Tasiilaq,65.6145,-37.6368,39.36,97,100,5.57,GL,1663705277
Sibolga,1.7427,98.7792,76.15,85,86,2.82,ID,1663705278
Narsaq,60.9167,-46.05,44.82,75,13,2.55,GL,1663704722
Concordia,-31.393,-58.0209,64.47,77,100,8.05,AR,1663705279
Vao,-22.6667,167.4833,73.63,79,0,8.03,NC,1663705280
Klaksvík,62.2266,-6.589,52.72,93,100,9.78,FO,1663705280
Ascension,30.2169,-90.9001,94.06,47,0,5.75,US,1663705281
Broken Hill,-31.95,141.4333,53.37,86,81,23.31,AU,1663705281
Alugan,12.2188,125.4808,77.16,88,100,7.81,PH,1663705282
Honiara,-9.4333,159.95,75.92,93,100,7.23,SB,1663704631
Kirakira,-10.4544,161.9205,78.85,86,100,13.44,SB,1663704710
Abu Kamal,34.4506,40.9171,87.6,21,0,8.43,SY,1663705283
Tessalit,20.1986,1.0114,96.78,23,71,13.2,ML,1663705284
Waddān,29.1614,16.139,92.53,12,2,10.36,LY,1663705284
Sémbé,1.6481,14.5806,70.45,98,85,1.99,CG,1663705285
Ust-Kuyga,70.0167,135.6,29.03,96,100,3.94,RU,1663705285
Yulara,-25.2406,130.9889,54.77,50,0,8.84,AU,1663705286
Talaya,61.3833,152.75,30.72,97,100,3.15,RU,1663705286
Margate,51.3813,1.3862,61.3,70,100,6.33,GB,1663705287
Fuerte Olimpo,-21.0415,-57.8738,88.79,47,72,7.43,PY,1663705287
Augusto Corrêa,-1.0217,-46.635,81.25,74,23,7.45,BR,1663705288
Teeli,51.0333,90.2333,45.91,58,11,0.72,RU,1663705288
Vostok,46.4856,135.8833,29.82,80,1,6.06,RU,1663705289
Ostrovnoy,68.0531,39.5131,45.7,94,100,22.95,RU,1663705269
Rehoboth,-23.3167,17.0833,51.04,21,0,7.11,NA,1663705289
Rocha,-34.4833,-54.3333,54.45,70,100,9.22,UY,1663705027
Petra,30.3222,35.4793,63.55,88,43,6.06,JO,1663705290
Port Elizabeth,-33.918,25.5701,56.1,90,0,3.44,ZA,1663704738
Necochea,-38.5473,-58.7368,49.68,60,100,9.66,AR,1663705291
Abu Dhabi,24.4667,54.3667,95.11,53,0,5.75,AE,1663705291
Avera,33.194,-82.5271,91.54,34,0,7.11,US,1663705291
Poum,-20.2333,164.0167,74.8,80,0,11.5,NC,1663705292
Ahipara,-35.1667,173.1667,58.17,90,12,2.82,NZ,1663705292
Cayenne,4.9333,-52.3333,77.04,69,75,17.27,GF,1663705243
Atar,20.5169,-13.0499,95.4,24,44,13.2,MR,1663705293
Ancud,-41.8697,-73.8203,46.22,76,42,5.08,CL,1663705293
Rørvik,64.8621,11.2373,37.38,61,93,5.57,NO,1663705294
Mathathane,-22.2687,28.7495,70.5,66,100,10.78,BW,1663705294
Adeje,28.1227,-16.726,72.7,76,20,9.22,ES,1663705295
Husavik,66.0449,-17.3389,51.6,86,45,4.16,IS,1663705295
Shache,38.4167,77.2406,69.33,28,5,5.53,CN,1663705295
Laas,46.6166,10.7002,56.28,84,9,5.99,IT,1663705296
Careiro da Várzea,-3.2003,-59.8119,95.61,31,96,1.05,BR,1663705296
Arrifes,37.7667,-25.7,76.23,73,20,4.61,PT,1663705039
Saint George,37.1041,-113.5841,91.99,16,0,14.97,US,1663705224
Kilindoni,-7.9139,39.6668,76.14,76,34,13.8,TZ,1663705297
Outjo,-20.1167,16.15,65.55,16,0,3.87,NA,1663705298
Bathsheba,13.2167,-59.5167,86.61,74,40,20.71,BB,1663705298
João Pinheiro,-17.7425,-46.1725,84.29,41,67,3.53,BR,1663705299
Haines Junction,60.7522,-137.5108,62.55,45,100,3.44,CA,1663705299
Camacha,33.0833,-16.3333,71.02,78,20,6.91,PT,1663705300
Lompoc,34.6391,-120.4579,80.02,70,40,9.22,US,1663705255
Lüderitz,-26.6481,15.1594,64.58,38,0,10.18,NA,1663705300
Ratnagiri,16.9833,73.3,76.42,85,100,2.82,IN,1663705301
Kochevo,59.5994,54.3125,52.59,73,10,11.1,RU,1663705301
el Prat de Llobregat,41.3278,2.0947,73.74,81,20,3.44,ES,1663705302
Bokoro,12.3807,17.0568,72.93,88,100,25.97,TD,1663705302
Gachsaran,30.3586,50.7981,82.49,32,0,0.0,IR,1663705302
Tabuk,17.4189,121.4443,71.02,92,89,2.59,PH,1663705303
Kiryat Gat,31.61,34.7642,77.68,100,1,4.88,IL,1663705303
Māngrol,21.1167,70.1167,79.16,77,8,9.31,IN,1663705304
Balad,34.0164,44.1453,91.87,9,33,10.31,IQ,1663705304
Yenagoa,4.9247,6.2642,75.52,92,98,3.85,NG,1663705304
Tokoroa,-38.2333,175.8667,51.94,84,100,8.01,NZ,1663705305
Hūn,29.1268,15.9477,91.78,12,3,6.15,LY,1663705305
Antofagasta,-23.65,-70.4,60.08,68,4,13.24,CL,1663705175
Terney,45.0503,136.6092,42.26,59,0,7.09,RU,1663705306
Mt. Pleasant,32.7941,-79.8626,91.54,59,75,5.75,US,1663705152
Grindavik,63.8424,-22.4338,51.75,100,40,6.91,IS,1663705307
Sabang,5.8933,95.3214,81.77,76,97,10.31,ID,1663705307
Mar del Plata,-38.0023,-57.5575,53.62,69,0,9.22,AR,1663705161
Sijunjung,-0.6876,100.9537,71.15,97,100,1.61,ID,1663705308
Olkhovka,53.2115,60.6069,59.27,30,6,7.16,RU,1663705308
Plouzané,48.3833,-4.6167,57.25,91,0,6.91,FR,1663705309
Varadero,23.1536,-81.2514,88.56,71,13,8.81,CU,1663705132
Mbengwi,6.0167,10.0,63.19,96,69,0.78,CM,1663705309
Shitanjing,39.2342,106.3439,55.13,56,0,4.07,CN,1663705310
Mitha Tiwana,32.2486,72.1108,85.21,48,0,8.12,PK,1663705310
Airai,-8.9266,125.4092,59.11,87,35,2.82,TL,1663704734
Novoagansk,61.9449,76.6625,52.07,89,100,15.01,RU,1663705311
Philadelphia,39.9523,-75.1638,82.94,48,40,16.11,US,1663704637
Zhezkazgan,47.8043,67.7144,61.14,17,0,11.03,KZ,1663705311
Botou,38.0667,116.5667,55.81,88,0,6.6,CN,1663705312
Kieta,-6.2167,155.6333,77.72,85,99,2.35,PG,1663704740
Taguatinga,-12.3857,-46.5711,91.33,32,67,4.85,BR,1663705312
Fairbanks,64.8378,-147.7164,46.36,85,75,5.75,US,1663705030
Coahuayana Viejo,18.7333,-103.6833,79.43,86,100,2.35,MX,1663705313
Cleveland,41.4995,-81.6954,80.78,55,100,5.75,US,1663704863
San Patricio,28.017,-97.5169,92.17,47,23,13.47,US,1663704722
Pangkalanbuun,-2.6833,111.6167,71.55,99,100,1.63,ID,1663705314
Raymondville,26.4815,-97.7831,91.4,49,46,12.41,US,1663705314
Nerchinskiy Zavod,51.3088,119.61,43.57,74,100,3.83,RU,1663705315
Praia da Vitória,38.7333,-27.0667,76.75,88,75,4.14,PT,1663705058
Grand Gaube,-20.0064,57.6608,71.38,74,7,7.0,MU,1663705315
Hofn,64.2539,-15.2082,51.15,97,100,3.87,IS,1663705316
Faanui,-16.4833,-151.75,78.44,73,7,16.26,PF,1663705316
Khatanga,71.9667,102.5,22.05,90,94,7.02,RU,1663705316
Yong’an,39.6957,113.6871,49.3,52,2,2.55,CN,1663705317
Dera Ghazi Khan,30.0561,70.6348,87.76,36,0,2.17,PK,1663705318
Wau,7.7029,27.9953,74.41,84,8,3.53,SS,1663705318
Slave Lake,55.2834,-114.769,53.58,66,0,6.91,CA,1663705319
Beyla,8.6833,-8.6333,68.5,96,100,3.02,GN,1663705319
Eyl,7.9803,49.8164,78.53,83,86,17.96,SO,1663705320
Luba,3.4568,8.5547,78.69,85,94,3.76,GQ,1663705321
Loíza,18.4313,-65.8802,87.76,79,40,10.36,PR,1663705321
Champasak,14.75,106.0,72.19,100,100,2.35,LA,1663705322
Lima,-12.0432,-77.0282,70.9,64,100,10.36,PE,1663705091
Les Cayes,18.2,-73.75,85.33,71,100,4.09,HT,1663705323
Khoy,38.5504,44.9535,72.01,18,10,1.52,IR,1663705324
Linjiang,41.8069,126.9078,36.88,90,0,1.92,CN,1663705324
Eydhafushi,5.1033,73.0708,81.52,76,73,10.54,MV,1663705325
Caravelas,-17.7125,-39.2481,73.96,73,20,9.15,BR,1663704736
Pontianak,-0.0333,109.3333,73.38,100,100,2.3,ID,1663705325
Adrar,20.5022,-10.0711,97.57,16,100,6.42,MR,1663705326
Asău,46.4333,26.4,43.72,84,17,4.41,RO,1663705326
Boppard,50.2308,7.5899,53.02,88,13,0.81,DE,1663705327
Tuktoyaktuk,69.4541,-133.0374,44.6,87,100,9.22,CA,1663705327
Kahului,20.8947,-156.47,87.82,64,20,24.16,US,1663705270
General Roca,-39.0333,-67.5833,61.63,24,33,17.56,AR,1663705328
Bonthe,7.5264,-12.505,77.0,86,100,8.1,SL,1663705329
Arlit,18.7369,7.3853,91.24,34,74,14.52,NE,1663705329
Gizo Government Station,-8.103,156.8419,81.39,78,100,8.14,SB,1663705330
Coruripe,-10.1256,-36.1756,75.18,74,0,8.41,BR,1663705330
Nizhnyaya Omka,55.4338,74.9426,61.75,74,39,6.29,RU,1663705331
São João da Barra,-21.6403,-41.0511,77.09,80,63,18.37,BR,1663705331
Dmytrivka,45.9717,28.9864,53.73,54,57,4.94,UA,1663705332
Tsabong,-26.0217,22.401,55.94,30,0,10.36,BW,1663705332
Russell,32.3502,-85.1999,88.97,62,0,5.75,US,1663705333
Tautira,-17.7333,-149.15,76.98,77,77,16.93,PF,1663705333
Buala,-8.145,159.5921,79.72,81,100,5.68,SB,1663705334
Huangzhai,38.0751,112.6595,50.41,70,0,3.02,CN,1663705334
Fereydūnkenār,36.6864,52.5225,75.42,94,0,2.3,IR,1663705335
Warri,5.5167,5.75,76.12,89,100,3.85,NG,1663705336
Santiago del Estero,-27.7951,-64.2615,64.17,51,100,7.72,AR,1663705259
