City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
Madīnat Sittah Uktūbar,29.8167,31.05,78.4,54,0,13.04,EG,1663705336
Caniço,32.6333,-16.85,76.01,87,40,3.44,PT,1663705337
Coos Bay,43.3665,-124.2179,71.31,94,75,0.0,US,1663705337
São Filipe,14.8961,-24.4956,79.12,76,28,7.65,CV,1663705338
Pitimbu,-7.4706,-34.8086,79.39,72,20,10.4,BR,1663705338
Tiznit Province,29.5833,-9.5,73.44,57,17,2.19,MA,1663704748
Jega,12.2175,4.3792,78.04,83,6,6.96,NG,1663705339
Katete,-0.7818,29.7544,61.39,91,39,3.85,UG,1663705339
Clyde River,70.4692,-68.5914,32.23,86,75,5.75,CA,1663705233
Turukhansk,65.8167,87.9833,31.51,63,99,7.74,RU,1663705340
Roald,62.5833,6.1333,50.76,76,0,8.05,NO,1663705341
Jinchang,38.4953,102.1739,60.85,47,8,4.5,CN,1663705341
Tazovsky,67.4667,78.7,35.56,73,100,24.29,RU,1663705341
Ati,13.2154,18.3353,78.91,73,100,16.37,TD,1663705342
Florø,61.5996,5.0328,48.16,76,0,8.05,NO,1663705343
Carutapera,-1.195,-46.02,82.0,72,80,8.77,BR,1663705343
Ukiah,39.1502,-123.2078,72.66,55,0,3.44,US,1663705291
Naze,28.3667,129.4833,68.92,76,4,8.52,JP,1663705344
Paraná,-31.732,-60.5238,62.56,79,98,4.18,AR,1663705192
Kodino,63.7198,39.6447,47.44,90,90,12.8,RU,1663705267
Esim,4.8699,-2.2405,75.63,88,99,5.75,GH,1663705345
Port-Gentil,-0.7193,8.7815,78.76,83,75,12.66,GA,1663705338
Muhafazat Lahij,13.1667,44.5833,89.85,41,75,2.86,YE,1663705345
Saint-Joseph,-21.3667,55.6167,68.38,83,36,13.58,RE,1663705346
Reftinskiy,57.0901,61.6769,59.67,54,100,5.19,RU,1663705346
Kem',64.9555,34.5793,45.91,79,81,13.38,RU,1663705347
The Valley,18.217,-63.0578,86.83,84,40,16.11,AI,1663705347
Saint-Junien,45.8833,0.9,59.85,49,29,6.4,FR,1663705348
Te Anau,-45.4167,167.7167,43.48,94,89,0.87,NZ,1663705348
Whitianga,-36.8333,175.7,57.94,91,100,4.07,NZ,1663705349
La Virtud,14.05,-88.7,79.56,80,56,3.98,HN,1663705349
Orekhovo-Zuevo,55.8083,38.979,46.72,88,58,3.56,RU,1663705349
Thompson,55.7435,-97.8558,44.76,81,100,11.5,CA,1663705350
La Ronge,55.1001,-105.2842,53.82,82,100,17.27,CA,1663705350
Salalah,17.0151,54.0924,78.89,94,75,5.75,OM,1663705351
Tahoua,14.8888,5.2692,87.12,48,19,8.81,NE,1663705351
Wilmington,34.2257,-77.9447,90.95,53,40,9.22,US,1663704681
Banda Aceh,5.5577,95.3222,78.85,82,98,5.99,ID,1663705352
Yagodnoye,62.55,149.6667,31.32,98,100,4.97,RU,1663705352
Khromtau,50.2503,58.4347,60.67,18,0,5.68,KZ,1663705352
Bengkulu,-3.8004,102.2655,74.97,92,100,4.56,ID,1663705353
Andenes,69.3143,16.1194,42.78,81,0,11.5,NO,1663705353
Sola,-13.8833,167.55,80.13,78,69,18.32,VU,1663705354
Muravlenko,63.7898,74.523,51.78,98,100,16.82,RU,1663705354
Saint-Pierre,-21.3393,55.4781,69.48,88,75,18.41,RE,1663705355
Balabac,7.9868,117.0645,81.64,75,63,13.04,PH,1663705355
Tocopilla,-22.092,-70.1979,62.92,66,8,15.28,CL,1663705093
Rio Grande,-32.035,-52.0986,62.71,85,99,16.22,BR,1663705356
Okha,53.5739,142.9478,41.92,66,99,20.98,RU,1663705356
Mingguang,32.7802,117.9638,61.74,71,100,5.82,CN,1663705357
Kandrian,-6.2167,149.55,75.6,92,100,3.38,PG,1663705357
Sainte-Maxime,43.3,6.6333,69.93,64,19,2.42,FR,1663705355
Bozüyük,39.9078,30.0367,55.74,88,81,5.28,TR,1663705358
Bolotnoye,55.6717,84.3981,45.93,85,20,2.66,RU,1663705358
Rundu,-17.9333,19.7667,65.75,18,0,7.07,NA,1663705359
Yumen,40.2833,97.2,64.13,27,0,10.29,CN,1663705359
Merauke,-8.4667,140.3333,79.32,84,98,13.06,ID,1663705360
Gouyave,12.1646,-61.7296,83.23,76,55,17.67,GD,1663705361
Sitka,57.0531,-135.33,57.09,72,75,3.44,US,1663705361
Maningrida,-12.0667,134.2667,72.84,84,97,6.8,AU,1663705361
Shingū,33.7333,135.9833,64.58,74,99,4.41,JP,1663705353
Ust'-Shonosha,61.1531,41.343,47.79,92,100,10.2,RU,1663705362
Cockburn Town,21.4612,-71.1419,80.65,89,100,45.34,TC,1663705363
Were Īlu,10.6,39.4333,51.03,85,86,3.71,ET,1663705363
Constitución,-35.3333,-72.4167,52.74,60,4,12.57,CL,1663705364
Aswān,24.0934,32.907,86.32,29,0,10.16,EG,1663705364
Nhamundá,-2.1861,-56.7131,101.57,21,57,6.85,BR,1663705365
Geraldton,-28.7667,114.6,50.41,93,83,8.05,AU,1663705365
Lacombe,52.4668,-113.7353,55.94,39,6,8.19,CA,1663705366
Khasan,42.4308,130.6434,48.69,64,0,6.06,RU,1663705366
Alibag,18.6411,72.8792,77.07,81,59,2.42,IN,1663705366
Elko,41.0002,-115.5012,78.82,13,3,25.01,US,1663705367
Esperance,-33.8667,121.9,54.45,82,0,12.73,AU,1663705367
Trat,12.5,102.5,79.88,98,100,1.03,TH,1663705368
Katubao,5.8892,124.8294,79.25,82,100,1.92,PH,1663705368
Itarantim,-15.6597,-40.0656,81.16,50,65,9.26,BR,1663705369
Isangel,-19.55,169.2667,76.24,82,3,5.57,VU,1663705369
Katsuura,35.1333,140.3,66.97,87,100,19.22,JP,1663705369
Kirovskiy,45.0917,133.5136,37.56,72,18,5.59,RU,1663705267
Khanbari,27.3747,87.2039,71.73,91,100,1.52,NP,1663705370
Winchester,51.0651,-1.3187,61.29,70,20,5.75,GB,1663705370
Yaan,7.3833,8.5667,73.74,92,91,1.32,NG,1663705371
Mizdah,31.4451,12.9801,85.08,14,32,2.93,LY,1663705372
Vestmannaeyjar,63.4427,-20.2734,52.63,93,100,12.12,IS,1663705372
Guozhen,34.3659,107.359,56.53,92,35,0.76,CN,1663705372
Punta Cardon,11.6581,-70.215,84.2,67,71,9.13,VE,1663705373
Dalby,-27.1833,151.2667,60.98,80,99,3.0,AU,1663705373
Zhuanghe,39.7008,122.9911,51.62,55,0,2.66,CN,1663705374
Padang,-0.9492,100.3543,76.24,89,100,4.34,ID,1663705324
Nosy Varika,-20.5833,48.5333,67.55,86,41,2.68,MG,1663705374
Sept-Îles,50.2001,-66.3821,57.72,62,75,9.22,CA,1663705375
Taungdwingyi,20.0167,95.55,73.33,96,86,5.39,MM,1663705375
Kushmurun,52.4503,64.6311,63.72,30,0,6.8,KZ,1663705376
Port Hardy,50.6996,-127.4199,59.18,72,20,4.61,CA,1663705376
Nouadhibou,20.931,-17.0347,75.18,78,9,19.57,MR,1663705377
Hasaki,35.7333,140.8333,63.28,75,100,23.29,JP,1663705377
Hirara,24.8,125.2833,79.99,77,84,24.38,JP,1663705378
Makokou,0.5738,12.8642,71.22,91,99,2.21,GA,1663705378
Comodoro Rivadavia,-45.8667,-67.5,44.46,100,100,12.66,AR,1663705379
Vardø,70.3705,31.1107,39.18,87,100,12.66,NO,1663705379
Hambantota,6.1241,81.1185,79.68,82,8,16.84,LK,1663705380
Arman',59.7,150.1667,41.02,90,100,9.13,RU,1663705380
Erenhot,43.6475,111.9767,54.41,34,6,11.32,CN,1663705381
Mareeba,-17.0,145.4333,72.32,94,92,3.11,AU,1663705382
Lata,40.1629,-8.3327,67.66,83,72,4.0,PT,1663705382
Bridlington,54.0831,-0.1919,59.9,83,71,6.85,GB,1663705383
Zatyshshya,47.3335,29.8733,48.6,73,99,10.2,UA,1663705383
Zhangaözen,43.3,52.8,73.33,18,0,10.02,KZ,1663705384
Puri,19.8,85.85,81.12,83,55,11.03,IN,1663705385
Tuatapere,-46.1333,167.6833,48.6,95,100,1.23,NZ,1663705385
Kalmunai,7.4167,81.8167,80.04,77,9,1.68,LK,1663705386
Wagar,16.1525,36.2032,93.09,33,96,8.39,SD,1663705386
Dalbandin,28.8947,64.4101,82.53,13,0,4.43,PK,1663705387
Pakse,15.1167,105.7833,74.07,98,100,2.39,LA,1663705387
Menongue,-14.6585,17.691,67.55,20,11,4.27,AO,1663705388
Gillette,44.2911,-105.5022,65.32,55,0,5.75,US,1663705146
Bāndarban,22.1965,92.2262,74.23,93,3,2.8,BD,1663705389
Bagadó,5.4116,-76.4152,85.35,64,100,2.35,CO,1663705389
Bull Savanna,17.8868,-77.5902,84.31,66,15,13.02,JM,1663705389
San Quintín,30.4833,-115.95,74.44,67,65,15.14,MX,1663705390
Marawi,7.9986,124.2928,69.3,93,100,1.63,PH,1663705391
Atasū,48.6814,71.6433,56.5,25,0,9.98,KZ,1663705391
Banjarmasin,-3.3244,114.591,73.54,96,100,3.06,ID,1663705328
Prudentópolis,-25.2131,-50.9778,73.74,57,64,1.03,BR,1663705392
Thaba Nchu,-29.2093,26.839,45.9,80,5,5.21,ZA,1663705392
Svobodnyy,51.4,128.1333,39.18,65,95,7.92,RU,1663705393
Say,13.1007,2.3689,84.76,79,9,8.9,NE,1663705393
La Trinidad,16.455,120.5875,60.21,91,73,2.89,PH,1663705393
Middelburg,-25.7751,29.4648,58.55,74,98,14.88,ZA,1663705394
Touros,-5.1989,-35.4608,78.13,71,32,15.23,BR,1663705394
Toila,59.4236,27.5025,52.39,81,100,11.79,EE,1663705395
Anadyr,64.75,177.4833,39.7,80,20,15.66,RU,1663705395
Amarante do Maranhão,-5.5667,-46.7422,98.62,20,16,6.82,BR,1663705396
Takoradze,4.8845,-1.7554,75.16,89,71,6.6,GH,1663705396
Yar-Sale,66.8333,70.8333,49.5,98,100,15.26,RU,1663705397
Suntar,62.1444,117.6319,36.21,97,100,8.72,RU,1663705397
Guánica,17.9716,-66.908,87.04,81,99,11.86,PR,1663705398
Torquay,50.4638,-3.5143,58.86,86,86,1.99,GB,1663705398
Lagoa,39.05,-27.9833,74.14,81,21,7.07,PT,1663705231
Bawku,11.0616,-0.2417,73.56,93,100,5.82,GH,1663705399
Pontalina,-17.525,-49.4472,89.46,35,95,3.67,BR,1663705399
Cornwall,45.0181,-74.7281,60.26,88,100,0.0,CA,1663705400
Zhigansk,66.7697,123.3711,28.8,87,87,15.3,RU,1663705401
Hearst,49.6835,-83.6665,73.65,67,93,7.05,CA,1663705401
Mariehamn,60.0973,19.9348,42.66,93,0,4.61,AX,1663705401
Anamur,36.0751,32.8369,75.07,78,0,5.99,TR,1663705274
Kīhei,20.785,-156.4656,87.82,66,20,24.16,US,1663705184
Provideniya,64.3833,-173.3,40.95,75,37,3.91,RU,1663705403
Chandler,33.3062,-111.8412,97.2,36,40,9.22,US,1663705151
Arcata,40.8665,-124.0828,76.75,72,0,9.22,US,1663705403
Estrela,-28.0611,-50.9383,63.95,71,95,3.53,BR,1663705404
Antipovka,49.8299,45.3122,57.97,68,96,8.08,RU,1663705404
Vila Velha,-20.3297,-40.2925,76.95,83,0,18.41,BR,1663705405
Shiringushi,53.8485,42.7676,56.88,72,92,0.76,RU,1663705405
Coyhaique,-45.5752,-72.0662,46.35,66,75,6.91,CL,1663705163
Inhumas,-16.3578,-49.4961,82.13,50,100,2.37,BR,1663705406
Wuda,39.4994,106.7117,58.8,46,0,5.91,CN,1663705406
Chokwé,-24.5333,32.9833,63.19,88,100,12.37,MZ,1663705407
Buluang,13.3068,123.3425,75.74,93,100,2.35,PH,1663705407
Deputatsky,69.3,139.9,24.73,97,100,4.68,RU,1663705408
Pokrovskoye,47.4157,38.8971,64.13,62,74,5.68,RU,1663705408
Vila Franca do Campo,37.7167,-25.4333,78.19,77,99,1.9,PT,1663705409
Conceição do Araguaia,-8.2578,-49.2647,102.27,17,23,3.6,BR,1663705410
Onzaga,6.3443,-72.8173,68.49,70,70,3.4,CO,1663705410
Aripuanã,-9.1667,-60.6333,94.32,33,82,4.68,BR,1663705410
Kalabo,-14.97,22.6814,77.79,44,78,4.79,ZM,1663705411
Horta,38.5333,-28.6333,74.84,83,20,5.75,PT,1663705411
Sumenep,-7.0167,113.8667,79.72,78,100,5.79,ID,1663705412
Guerrero Negro,27.9769,-114.0611,77.43,61,16,12.33,MX,1663705412
Bolu Province,40.6667,31.5833,50.61,89,46,3.65,TR,1663705413
Ust'-Kut,56.7938,105.7672,43.92,88,100,11.36,RU,1663705413
Stawell,-37.05,142.7667,48.87,95,100,6.38,AU,1663705414
Malhador,-10.6578,-37.3047,75.85,71,14,9.26,BR,1663705414
Yatou,37.15,122.3833,55.06,54,0,4.23,CN,1663705414
Praia,14.9215,-23.5087,79.34,78,20,13.8,CV,1663705415
Auki,-8.7676,160.7034,77.09,87,99,5.57,SB,1663705415
Belūr,13.1667,75.8667,64.65,94,97,5.53,IN,1663705416
Rome,43.2128,-75.4557,66.96,80,100,16.11,US,1663705204
Luganville,-15.5333,167.1667,78.85,82,33,6.2,VU,1663705416
Kangaatsiaq,68.3065,-53.4641,37.26,80,100,14.85,GL,1663705417
Yangjiang,21.85,111.9667,76.14,90,75,6.62,CN,1663705306
Kānker,20.2719,81.4931,72.64,97,100,3.83,IN,1663705417
Shahrud,36.4182,54.9763,68.16,32,0,4.09,IR,1663705418
Mahon,39.8885,4.2658,70.36,64,20,5.75,ES,1663705393
Tura,25.5198,90.2201,73.36,95,16,5.93,IN,1663705418
Barra do Garças,-15.89,-52.2567,93.78,46,75,6.91,BR,1663705419
Kathu,7.9178,98.3332,86.76,83,100,8.32,TH,1663705419
Neiafu,-18.65,-173.9833,79.48,83,20,13.8,TO,1663705420
Balkanabat,39.5108,54.3671,81.5,17,0,8.16,TM,1663705420
Caucaia,-3.7361,-38.6531,82.35,77,0,13.8,BR,1663705421
Kulebaki,55.4133,42.5325,48.13,81,26,3.76,RU,1663705421
San Fernando del Valle de Catamarca,-28.4696,-65.7852,69.06,48,42,1.99,AR,1663705422
Agua Buena,7.8167,-80.4,82.67,74,77,2.95,PA,1663705422
Lagos,6.5833,3.75,74.89,92,21,3.51,NG,1663705376
Harstad,68.799,16.5293,43.99,97,96,8.01,NO,1663705423
Simpang,-1.2667,104.0833,74.1,95,89,2.13,ID,1663705423
Constantine,36.365,6.6147,67.41,72,20,1.14,DZ,1663705423
Lanzhou,36.0564,103.7922,61.02,53,6,1.59,CN,1663705191
Pretoria,-25.7449,28.1878,64.2,60,82,12.66,ZA,1663705413
Dingle,10.9995,122.6711,75.72,89,100,1.66,PH,1663705424
Sidi Ali,36.0998,0.4206,72.48,75,90,5.97,DZ,1663705425
Mbini,1.574,9.6134,76.96,85,90,5.12,GQ,1663705425
Paamiut,61.994,-49.6678,40.32,79,59,17.07,GL,1663705426
Lorengau,-2.0226,147.2712,80.31,80,99,8.86,PG,1663705426
Akhmeta,42.0311,45.2075,70.32,61,4,3.33,GE,1663705427
Yambio,4.5721,28.3955,68.9,97,4,2.3,SS,1663705427
Nioro,13.35,-15.75,74.41,96,100,4.59,GM,1663705427
Kisangani,0.5167,25.2,71.71,98,97,1.63,CD,1663705428
Villa Carlos Paz,-31.4241,-64.4978,61.39,36,49,8.01,AR,1663705428
Visnes,59.3556,5.2242,51.82,87,75,0.0,NO,1663705429
Yakima,46.4665,-120.6678,76.84,27,0,11.5,US,1663705429
Varberg,57.1056,12.2508,48.92,86,12,8.46,SE,1663705430
Vila,42.0304,-8.1588,65.7,66,93,1.97,PT,1663705430
Changping,40.2186,116.2197,47.84,34,0,3.58,CN,1663705430
Beloha,-25.1667,45.05,70.79,69,0,6.82,MG,1663705431
Lakes Entrance,-37.8811,147.981,48.16,64,100,4.21,AU,1663705431
Bandarbeyla,9.4942,50.8122,78.58,84,51,17.98,SO,1663705432
Lake Havasu City,34.4839,-114.3224,101.23,15,0,10.36,US,1663705237
Sabha,27.0377,14.4283,91.35,11,0,7.45,LY,1663705432
Mitzic,0.7821,11.549,68.02,98,54,2.82,GA,1663705433
Mae Sai,20.4335,99.8762,69.87,99,53,2.1,TH,1663705433
Aklavik,68.2191,-135.0107,51.96,63,100,8.23,CA,1663705358
Dekernes,31.0876,31.595,70.12,71,0,4.7,EG,1663705434
Rawson,-43.3002,-65.1023,47.3,95,100,17.78,AR,1663705434
Sioux Lookout,50.1001,-91.917,73.47,68,40,10.36,CA,1663705435
Palana,59.1167,159.9667,44.83,87,99,37.16,RU,1663705435
Cape Coast,5.1053,-1.2466,75.4,89,46,6.73,GH,1663705436
Nkhata Bay,-11.6066,34.2907,74.32,51,0,2.39,MW,1663705436
Caohai,26.8661,104.2841,55.53,96,100,2.51,CN,1663705437
Umm Kaddadah,13.6017,26.6876,84.36,45,36,6.02,SD,1663705437
Marquette,46.5333,-87.6335,80.76,59,1,6.49,US,1663705437
Linxia Chengguanzhen,35.6003,103.2064,52.74,76,3,3.58,CN,1663705438
Half Moon Bay,37.4636,-122.4286,79.88,63,20,9.22,US,1663705438
Mian Channu,30.44,72.3543,81.39,43,0,7.65,PK,1663705439
Dwārka,22.2394,68.9678,80.29,76,19,9.71,IN,1663705439
Sarangani,5.4033,125.4636,83.55,69,100,3.56,PH,1663705439
Siocon,7.7061,122.1353,78.51,88,99,1.07,PH,1663705440
Saurimo,-9.6608,20.3916,74.07,54,30,2.13,AO,1663705440
Aldergrove,49.058,-122.4709,80.67,25,0,18.41,CA,1663705441
Fallon,39.4735,-118.7774,69.67,32,40,3.44,US,1663705441
Itarema,-2.9248,-39.9167,79.74,77,84,18.66,BR,1663705442
Kenitra,34.261,-6.5802,74.16,88,48,5.3,MA,1663705442
Nyazepetrovsk,56.0531,59.6028,55.69,64,99,2.8,RU,1663705443
Hay River,60.8156,-115.7999,62.56,39,40,6.91,CA,1663705442
Sajanan,37.0573,9.2426,74.32,65,2,12.26,TN,1663705444
Ambon City,-3.6954,128.1814,76.23,16,99,0.98,ID,1663705444
Ilhabela,-23.7781,-45.3581,71.64,77,50,2.46,BR,1663705445
Gurupá,-1.405,-51.64,87.53,50,81,3.58,BR,1663705445
Gobabis,-22.45,18.9667,50.61,23,0,11.41,NA,1663705446
Nizwá,22.9333,57.5333,85.06,45,21,2.95,OM,1663705446
Odienné,9.51,-7.5692,70.43,98,100,3.36,CI,1663705447
Härnösand,62.6323,17.9379,48.99,81,55,5.01,SE,1663705447
Kerrville,30.0474,-99.1403,92.55,46,75,5.75,US,1663705288
Birao,10.2849,22.7882,73.45,89,6,0.63,CF,1663705448
Abashiri,44.0213,144.2697,49.95,69,99,7.58,JP,1663705448
Mount Gambier,-37.8333,140.7667,51.01,96,100,5.68,AU,1663705399
Alyangula,-13.8483,136.4192,76.69,76,47,5.5,AU,1663705449
Saýat,38.7839,63.8803,71.47,18,0,9.89,TM,1663705449
Zyryanka,65.75,150.85,34.9,98,100,13.91,RU,1663705450
Manzhouli,49.6,117.4333,46.15,63,100,11.18,CN,1663705450
Malbork,54.0359,19.0266,51.89,84,100,9.53,PL,1663705451
Zhuhai,22.2769,113.5678,83.91,79,20,14.97,CN,1663705386
Eenhana,-17.4667,16.3333,68.05,16,5,7.54,NA,1663705452
Rypefjord,70.6333,23.6667,41.47,81,75,11.5,NO,1663705452
Keşan,40.8558,26.6303,60.69,52,10,5.68,TR,1663705453
Santarém,-2.4431,-54.7083,91.53,55,20,8.05,BR,1663705453
Bendigo,-36.7667,144.2833,52.86,61,100,1.01,AU,1663705348
Barabai,-2.5833,115.3833,71.89,98,100,2.24,ID,1663705455
São Francisco de Assis,-29.5503,-55.1311,69.15,72,86,8.99,BR,1663705455
Baruun-Urt,46.6806,113.2792,44.87,42,0,9.42,MN,1663705456
Leh,34.1667,77.5833,54.99,37,71,5.08,IN,1663705427
Polovinnoye,54.7914,65.9864,62.29,36,28,8.37,RU,1663705456
Antalaha,-14.9003,50.2788,67.24,85,16,8.1,MG,1663705457
Yuli,9.6989,10.2744,74.37,92,10,2.64,NG,1663705457
Durban,-29.8579,31.0292,58.93,95,100,12.59,ZA,1663705282
Forestville,38.8451,-76.875,85.46,45,0,12.66,US,1663705318
Nieuw Amsterdam,5.8833,-55.0833,77.16,89,40,6.91,SR,1663705458
Malko Tarnovo,41.9833,27.5333,49.95,57,59,2.98,BG,1663705459
Uchiza,-8.4592,-76.4633,92.48,37,52,1.43,PE,1663705459
Amahai,-3.3333,128.9167,77.38,86,98,2.55,ID,1663705460
Ambanja,-13.6833,48.45,72.18,83,97,2.62,MG,1663705460
Virginia Beach,36.8529,-75.978,89.64,50,20,9.22,US,1663705279
Port Lincoln,-34.7333,135.8667,56.23,87,92,19.04,AU,1663705360
Sørland,67.667,12.6934,49.21,66,99,17.69,NO,1663705461
Shīeli,44.1667,66.75,73.35,22,0,13.2,KZ,1663705462
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,72.5,61,95,5.57,AR,1663705462
